Physical_Activity,Sleep_Duration,Quality_of_Sleep,Food_consumption,Social,Screen_Time,Productivity,mood,Description
10,4,5,8,9,10,7,8,I had a productive day
4,6,7,7,8,5,7,8,I had a peaceful day
7,6,8,5,7,7,5,8,I had a productive day
10,7,7,5,4,6,5,4,Could've been much better
3,5,4,8,8,8,8,5,it was stressful don't know why
7,7,5,7,6,8,8,8,I had an eventful day.
1,11,10,8,5,6,5,5,"No day, may be wasteful day"
6,9,9,7,1,8,4,5,I started something new (playing chess)
10,8,9,8,10,7,9,8,I had a very hectic day as I had to submit 3-4 assignments.
4,6,3,5,10,10,1,1,I cried because of some Politics
9,7,8,2,7,9,7,8,I had a productive day.
1,10,1,5,8,7,6,2,"Stressed , tired , fatigue ,"
7,7,6,6,5,4,8,7,I had a productive day
2,5,3,3,4,9,3,4,I had a rough hr interview today
5,10,5,7,3,10,3,5,Nothing just went on shopping then went for food nd done with day
3,5,4,7,3,10,6,4,I didn't had a productive day
8,8,5,4,6,10,5,6,"It was a good day, went to temple and then had a productive day ahead"
1,9,7,7,5,9,3,9,"I had a great day, nothing interesting happened, I spent it like my usual days"
4,7,7,5,6,8,6,8,I went to college and took classes
6,7,8,9,9,4,4,8,Fine
6,6,9,7,7,5,7,8,Had a productive day
8,7,5,8,5,6,5,5,Normal days..
9,8,10,10,7,4,6,9,I had a well planned day
6,8,7,5,6,5,3,7,I binged my favourite show
9,8,10,8,10,7,9,10,I had very pleasant day as I met my old friends today
7,9,9,7,6,9,7,8,Good
10,4,5,8,9,10,7,8,I had a productive day
4,6,7,7,8,5,7,8,I had a peaceful day
7,6,8,5,7,7,5,8,I had a productive day
10,7,7,5,4,6,5,4,Could've been much better
3,5,4,8,8,8,8,5,It was stressful don't know why
7,7,5,7,6,8,8,8,I had an eventful day.
1,11,10,8,5,6,5,5,"No day, may be wasteful day"
6,9,9,7,1,8,4,5,I started something new (playing chess)
10,8,9,8,10,7,9,8,I had a very hectic day as I had to submit 3-4 assignments.
4,6,3,5,10,10,1,1,I cried because of some Politics
9,7,8,2,7,9,7,8,I had a productive day.
1,10,1,5,8,7,6,2,"Stressed , tired , fatigue ,"
